service_id,date,exception_type
096-278-2130082024-WIK#GRJ,20240829,2
096-28-0930082024-WIW#GRJ,20240816,2
096-29-1000082024-GRJ#WIW,20240816,2
096-36-1130082024-WIW#GRJ,20240808,2
096-36-1130082024-WIW#GRJ,20240816,2
096-36-1130082024-WIW#GRJ,20240822,2
096-36-1130082024-WIW#GRJ,20240829,2
096-37-1200082024-GRJ#WIW,20240816,2
096-44-1330082024-WIW#GRJ,20240815,2
096-44-1330082024-WIW#GRJ,20240816,2
096-45-1400082024-GRJ#WIW,20240808,2
096-45-1400082024-GRJ#WIW,20240816,2
096-45-1400082024-GRJ#WIW,20240822,2
096-45-1400082024-GRJ#WIW,20240829,2
096-46-1400082024-WIW#GRJ,20240816,2
096-5-0400082024-GRJ#WIW,20240815,2
096-5-0400082024-GRJ#WIW,20240816,2
096-52-1530082024-WIW#GRJ,20240815,2
096-53-1600082024-GRJ#WIW,20240808,2
096-53-1600082024-GRJ#WIW,20240822,2
096-53-1600082024-GRJ#WIW,20240829,2
096-55-1630082024-GRJ#WIW,20240815,2
096-55-1630082024-GRJ#WIW,20240816,2
096-60-1730082024-WIW#GRJ,20240816,2
096-61-1800082024-GRJ#WIW,20240816,2
096-68-1930082024-WIW#GRJ,20240816,2
099-7-0415072024-M#PQB,20240702,2
099-7-0415072024-M#PQB,20240703,2
099-7-0415102024-M#PQB,20241008,2
099-7-0415102024-M#PQB,20241009,2
099-7-0415102024-M#PQB,20241015,2
099-7-0415102024-M#PQB,20241016,2
099-8-0840072024-PQB#M,20240703,2
099-8-0840072024-PQB#M,20240704,2
099-8-0840102024-PQB#M,20241002,2
099-8-0840102024-PQB#M,20241003,2
099-8-0840102024-PQB#M,20241009,2
099-8-0840102024-PQB#M,20241010,2
099-8-0840102024-PQB#M,20241016,2
099-8-0840102024-PQB#M,20241017,2
1000-1-0530102024-LBO#PGA,20241008,2
1000-1-0530102024-LBO#PGA,20241009,2
1000-1-0530102024-LBO#PGA,20241010,2
1000-1-0530102024-LBO#PGA,20241015,2
1000-1-0530102024-LBO#PGA,20241016,2
1000-1-0530102024-LBO#PGA,20241017,2
1000-1-0530102024-LBO#PGA,20241022,2
1000-1-0530102024-LBO#PGA,20241023,2
1000-1-0530102024-LBO#PGA,20241024,2
1000-11-1030102024-LBO#PGA,20241008,2
1000-11-1030102024-LBO#PGA,20241009,2
1000-11-1030102024-LBO#PGA,20241010,2
1000-11-1030102024-LBO#PGA,20241015,2
1000-11-1030102024-LBO#PGA,20241016,2
1000-11-1030102024-LBO#PGA,20241017,2
1000-11-1030102024-LBO#PGA,20241022,2
1000-11-1030102024-LBO#PGA,20241023,2
1000-11-1030102024-LBO#PGA,20241024,2
1000-15-1230102024-LBO#PGA,20241008,2
1000-15-1230102024-LBO#PGA,20241009,2
1000-15-1230102024-LBO#PGA,20241010,2
1000-15-1230102024-LBO#PGA,20241015,2
1000-15-1230102024-LBO#PGA,20241016,2
